Stránka è.;Znaèení;Specifikace;ROUTINGCLASS;Znaèení
1;P0:L3/FU0:5;2,5mm2,gray;;P0:L3/FU0:5
1;PO:L2/FU0:3;2,5mm2,brown;;PO:L2/FU0:3
1;P0:L1/FU0:1;2,5mm2,black;;P0:L1/FU0:1
1;F0:2/K0:L1;1mm2,black;;F0:2/K0:L1
1;F0:4/K0:L2;1mm2,brown;;F0:4/K0:L2
1;F0:6/K0:L3;1mm2,gray;;F0:6/K0:L3
1;F0:6/K0:18;1mm2,grey;;F0:6/K0:18
1;P0:L1/F0:1;1mm2,black;;P0:L1/F0:1
1;P0:L2/F0:3;1mm2,brown;;P0:L2/F0:3
1;P0:L3/F0:5;1mm2,gray;;P0:L3/F0:5
1;K0:15/TS0:1;1mm2,black;;K0:15/TS0:1
1;WL-01;;;WL-01
1;X0:L1/S0:1;4mm2,black;;X0:L1/S0:1
1;X0:L2/S0:3;4mm2,brown;;X0:L2/S0:3
1;X0:L3/S0:5;4mm2,gray;;X0:L3/S0:5
1;X0:N/S0:7;4mm2,blue;;X0:N/S0:7
1;S0:8/N:7;4mm2,blue;;S0:8/N:7
1;S0:6/P0:L3;4mm2,gray;;S0:6/P0:L3
1;S0:4/P0:L2;4mm2,brown;;S0:4/P0:L2
1;S0:2/P0:L1;4mm2,black;;S0:2/P0:L1
1;P0:N/N:6;4mm2,blue;;P0:N/N:6
1;X0:PE/PE;4mm2,green-yellow;;X0:PE/PE
1;TS0:2/K1:A1;1mm2,black;;TS0:2/K1:A1
1;K1:A2/FU0:8;1mm2,blue;;K1:A2/FU0:8
2;FI0:5/FI2:1;2,5mm2,gray;;FI0:5/FI2:1
2;FI1:3/FI2:3;2,5mm2,blue;;FI1:3/FI2:3
2;FI0:3/FI1:1;2,5mm2,brown;;FI0:3/FI1:1
2;FI0:7/FI1:3;2,5mm2,blue;;FI0:7/FI1:3
2;FI2:2/FU1:1;2,5mm2,black;;FI2:2/FU1:1
2;FI2:2/FU1:1;2,5mm2,black;;FI2:2/FU1:1
2;FU1:1/FU2:1;2,5mm2,black;;FU1:1/FU2:1
2;FU1:1/FU2:1;2,5mm2,black;;FU1:1/FU2:1
2;FU2:1/FU3:1;2,5mm2,black;;FU2:1/FU3:1
3;TR-C;;;TR-C
3;LIGHT;;;LIGHT
3;ROBOT;;;ROBOT
3;ZR-1;;;ZR-1
