Znaèení;Specifikace
P0:L3/FU0:5;2,5mm2,gray
PO:L2/FU0:3;2,5mm2,brown
P0:L1/FU0:1;2,5mm2,black
F0:2/K0:L1;1mm2,black
F0:4/K0:L2;1mm2,brown
F0:6/K0:L3;1mm2,gray
F0:6/K0:18;1mm2,grey
P0:L1/F0:1;1mm2,black
P0:L2/F0:3;1mm2,brown
P0:L3/F0:5;1mm2,gray
K0:15/TS0:1;1mm2,black
X0:L1/S0:1;4mm2,black
X0:L2/S0:3;4mm2,brown
X0:L3/S0:5;4mm2,gray
X0:N/S0:7;4mm2,blue
S0:8/N:7;4mm2,blue
S0:6/P0:L3;4mm2,gray
S0:4/P0:L2;4mm2,brown
S0:2/P0:L1;4mm2,black
P0:N/N:6;4mm2,blue
X0:PE/PE;4mm2,green-yellow
TS0:2/K1:A1;1mm2,black
K1:A2/FU0:8;1mm2,blue
FI0:5/FI2:1;2,5mm2,gray
FI1:3/FI2:3;2,5mm2,blue
FI0:3/FI1:1;2,5mm2,brown
FI0:7/FI1:3;2,5mm2,blue
FI2:2/FU1:1;2,5mm2,black
FI2:2/FU1:1;2,5mm2,black
FU1:1/FU2:1;2,5mm2,black
FU1:1/FU2:1;2,5mm2,black
FU2:1/FU3:1;2,5mm2,black
