Znaüen°;Specifikace
F0:2/K0:L1;1 mm2,black
F0:4/K0:L2;1 mm2,brown
F0:6/K0:L3;1 mm2,gray
F0:6/K0:L3;1 mm2,gray
F0:6/K0:2;1 mm2,gray
X0:N/X1:N1;1,5 mm2,blue
X0:L3/S0:5;1,5 mm2,gray
X0:L2/S0:3;1,5 mm2,bown
K0:3/K1:A1;1 mm2,black
K0:3/K1:A1;1 mm2,black
K2:A1/K1:A1;1 mm2,black
K1:A2/K2:A2;1 mm2,blue
K0:N/K1:A2;1 mm2,blue
X0:L3/S0:5;1,5 mm2,gray
X0:L2/S0:3;1,5 mm2,bown
X0:L1/S0:1;1,5 mm2,black
S0:6/F1:5;1,5 mm2,gray
S0:4/F1:3;1,5 mm2,bown
S0:2/F1:1;1,5 mm2,black
S0:5/F0:5;1 mm2,gray
S0:3/F0:3;1 mm2,brown
X0:L1/S0:1;1,5 mm2,black
S0:1/F0:1;1 mm2,black
X2:3/PWC_T1:1;1 mm2,red
X3:3/PWC_T2:1;1 mm2,red
X8:3/PWC_T1:2;1 mm2,white
X9:3/PWC_T2:2;1 mm2,white
X2:4/PWC_T1:3;1 mm2,red
X3:4/PWC_T2:3;1 mm2,red
X8:4/PWC_T1:4;1 mm2,white
X9:4/PWC_T2:4;1 mm2,white
X4:3/PWC_T3:1;1 mm2,red
X5:3/PWC_T4:1;1 mm2,red
X10:3/PWC_T3:2;1 mm2,white
X11:3/PWC_T4:2;1 mm2,white
X4:4/PWC_T3:3;1 mm2,red
X5:4/PWC_T4:3;1 mm2,red
X10:4/PWC_T3:4;1 mm2,white
X11:4/PWC_T4:4;1 mm2,white
X6:3/PWC_T6:1;1 mm2,red
X7:3/PWC_T5:1;1 mm2,red
X12:3/PWC_T6:2;1 mm2,white
X13:3/PWC_T5:2;1 mm2,white
X6:4/PWC_T6:3;1 mm2,red
X7:4/PWC_T5:3;1 mm2,red
X12:4/PWC_T6:4;1 mm2,white
X13:4/PWC_T5:4;1 mm2,white
PWS9:1/X14:1;1,5 mm2,black
PWS9:4/X15:1;1,5 mm2,blue
